variant,collection_date,subm_date,region,country,province ,lineage,date_2weeks
DENV-3 Genotype III,2011/01/01,2013-07-23T00:00:00Z,Africa,Somalia,,DENV-3,2011/01/01
DENV-3 Genotype III,2011/01/01,2013-07-23T00:00:00Z,Africa,Somalia,,DENV-3,2011/01/01
DENV-3 Genotype III,2011/01/01,2013-07-23T00:00:00Z,Africa,Somalia,,DENV-3,2011/01/01
DENV-3 Genotype III,2011/01/01,2013-07-23T00:00:00Z,Africa,Somalia,,DENV-3,2011/01/01
DENV-3 Genotype III,2011/01/01,2013-07-23T00:00:00Z,Africa,Somalia,,DENV-3,2011/01/01
DENV-3 Genotype III,2018/10/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/10/01
DENV-3 Genotype III,2018/10/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/10/01
DENV-3 Genotype III,2009/01/01,2017-01-25T00:00:00Z,Africa,Senegal,,DENV-3,2009/01/01
DENV-3 Genotype III,2018/10/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/10/01
DENV-3 Genotype III,2018/10/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/10/01
DENV-3 Genotype III,2018/11/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/11/01
DENV-3 Genotype III,2018/11/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/11/01
DENV-3 Genotype III,2018/11/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/11/01
DENV-3 Genotype III,2018/11/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/11/01
DENV-3 Genotype III,2018/11/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/11/01
DENV-3 Genotype III,2018/11/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/11/01
DENV-3 Genotype III,2018/11/01,2020-11-29T00:00:00Z,Africa,Senegal,,DENV-3,2018/11/01
DENV-3 Genotype III,2010/01/01,2013-11-27T00:00:00Z,Africa,Gabon,,DENV-3,2010/01/01
DENV-3 Genotype III,2016/05/15,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/05/15
DENV-3 Genotype III,2016/05/20,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/05/20
DENV-3 Genotype III,2016/07/14,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/07/14
DENV-3 Genotype III,2016/07/22,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/07/22
DENV-3 Genotype III,2017/04/15,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2017/04/15
DENV-3 Genotype III,2016/05/01,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/05/01
DENV-3 Genotype III,2016/06/17,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/06/17
DENV-3 Genotype III,2016/07/05,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/07/05
DENV-3 Genotype III,2016/07/15,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/07/15
DENV-3 Genotype III,2016/08/08,2019-12-12T00:00:00Z,Africa,Gabon,,DENV-3,2016/08/08
DENV-3 Genotype III,2014/01/01,2019-08-20T00:00:00Z,Africa,Ghana,,DENV-3,2014/01/01
DENV-3 Genotype III,2014/01/01,2019-08-20T00:00:00Z,Africa,Ghana,,DENV-3,2014/01/01
DENV-3 Genotype III,2014/01/01,2019-08-20T00:00:00Z,Africa,Ghana,,DENV-3,2014/01/01
DENV-3 Genotype III,2014/01/01,2019-08-20T00:00:00Z,Africa,Ghana,,DENV-3,2014/01/01
DENV-3 Genotype III,2014/01/01,2019-08-20T00:00:00Z,Africa,Ghana,,DENV-3,2014/01/01
DENV-3 Genotype III,2019/10/15,2020-02-09T00:00:00Z,Africa,Sudan,,DENV-3,2019/10/15
DENV-3,2015/03/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/03/01
DENV-3,2015/05/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/05/01
DENV-3,2015/06/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/06/01
